节点ID,技能树,层级,节点名称,属性门槛,消耗技能点,效果描述,前置节点,节点类型,备注
# === 战斗系 ===
SKL_COMBAT_01,战斗系,Lv1,近战精通,无,1,所有近战武器伤害+8%,无,被动,
SKL_COMBAT_02,战斗系,Lv1,远程精通,无,1,弓弩射速+15%，精度+10%,无,被动,
SKL_COMBAT_03,战斗系,Lv1,生存专家,无,1,生命上限+15%，包扎恢复+30%,无,被动,
SKL_COMBAT_11,战斗系,Lv2,骑术专精,武勇≥25,1,马上攻击伤害+15%，马匹操控+20%,近战精通或远程精通,被动,
SKL_COMBAT_12,战斗系,Lv2,双持战斗,武勇≥25,1,可双持单手武器，攻速+20%但防御-10%,近战精通,主动切换,
SKL_COMBAT_13,战斗系,Lv2,重甲适应,武勇≥25,1,穿重甲时移速惩罚-50%,生存专家,被动,
SKL_COMBAT_21,战斗系,Lv3,致命一击,武勇≥40,1,暴击率+10%，暴击伤害从150%→175%,骑术专精或双持战斗,被动,
SKL_COMBAT_22,战斗系,Lv3,闪避大师,武勇≥40,1,闪避无敌帧+0.05秒，闪避体力消耗-30%,重甲适应或双持战斗,被动,
SKL_COMBAT_23,战斗系,Lv3,破甲专精,武勇≥40,1,破甲率+15%（可与武器破甲叠加）,近战精通→骑术专精,被动,
SKL_COMBAT_24,战斗系,Lv3,坚韧体质,武勇≥40,1,体力恢复速度+50%，体力<30时攻击不减,生存专家→重甲适应,被动,
SKL_COMBAT_31,战斗系,Lv4,武器大师,武勇≥60,1,切换武器无冷却，每种武器首次攻击+20%伤害,致命一击+破甲专精,被动,
SKL_COMBAT_32,战斗系,Lv4,不屈意志,武勇≥60,1,生命<20%→防御+50%+攻击+25%,坚韧体质,触发型,
SKL_COMBAT_33,战斗系,Lv4,旋风连斩,武勇≥60,1,击杀敌人后下一次攻击伤害+30%（可连续触发）,致命一击+闪避大师,触发型,
SKL_COMBAT_41,战斗系,Lv5,万人之敌,武勇≥75,2,单挑伤害+50%，斩杀敌将→敌全军士气-30%+友军士气+15%,武器大师或不屈意志,宗师,

# === 统帅系 ===
SKL_LEAD_01,统帅系,Lv1,练兵,无,1,部队训练速度+30%，新兵初始士气+10,无,被动,
SKL_LEAD_02,统帅系,Lv1,阵型基础,无,1,变阵时间-15%,无,被动,
SKL_LEAD_03,统帅系,Lv1,后勤管理,无,1,军粮消耗-15%，行军速度+10%,无,被动,
SKL_LEAD_11,统帅系,Lv2,骑兵指挥,统率≥25,1,骑兵编队攻击+12%，冲锋伤害+20%,练兵或阵型基础,被动,
SKL_LEAD_12,统帅系,Lv2,弓兵指挥,统率≥25,1,弓兵编队射程+10%，齐射伤害+15%,阵型基础或后勤管理,被动,
SKL_LEAD_13,统帅系,Lv2,步兵指挥,统率≥25,1,步兵编队防御+12%，方阵效果+20%,练兵或后勤管理,被动,
SKL_LEAD_21,统帅系,Lv3,伏击战术,统率≥45,1,伏击成功率+25%，伏击伤害+30%,骑兵指挥或步兵指挥,被动,
SKL_LEAD_22,统帅系,Lv3,攻城指挥,统率≥45,1,围城时敌军士气下降+50%，攻城器械伤害+20%,步兵指挥,被动,
SKL_LEAD_23,统帅系,Lv3,急行军,统率≥45,1,全军移速+20%持续12小时，冷却24小时,骑兵指挥,主动技能,
SKL_LEAD_24,统帅系,Lv3,地形利用,统率≥45,1,全军获得当前地形优势×1.5倍,阵型基础→步兵指挥,被动,
SKL_LEAD_31,统帅系,Lv4,多线指挥,统率≥65,1,可同时给3个不同编队下达不同指令,伏击战术+攻城指挥,被动,
SKL_LEAD_32,统帅系,Lv4,精英训练,统率≥65,1,T3+部队全属性+10%,步兵指挥→攻城指挥,被动,
SKL_LEAD_33,统帅系,Lv4,战场应变,统率≥65,1,变阵可在被攻击时完成，变阵时间-30%,阵型基础→地形利用,被动,
SKL_LEAD_41,统帅系,Lv5,千军万马,统率≥80,2,带兵上限+50%，可同时指挥3支独立编队独立行动,多线指挥+精英训练,宗师,

# === 智谋系 ===
SKL_WIT_01,智谋系,Lv1,辩才,无,1,辩论成功率+15%，献策被采纳率+20%,无,被动,
SKL_WIT_02,智谋系,Lv1,洞察,无,1,识别敌方计谋概率+25%，发现伏击概率+20%,无,被动,
SKL_WIT_03,智谋系,Lv1,博闻强记,无,1,阅读竹简速度×2，学习效率+20%,无,被动,
SKL_WIT_11,智谋系,Lv2,火计精通,智略≥25,1,火计成功率+25%，火攻伤害+30%,辩才或洞察,被动,
SKL_WIT_12,智谋系,Lv2,诱敌深入,智略≥25,1,诈败成功率+30%，诱敌后混乱时间×2,洞察,主动技能,
SKL_WIT_13,智谋系,Lv2,谣言散布,智略≥25,1,流言效果+30%，敌城民忠下降加速+50%,辩才,主动技能,
SKL_WIT_21,智谋系,Lv3,反间计,智略≥45,1,策反敌将成功率+25%，被反间概率-50%,谣言散布,被动,
SKL_WIT_22,智谋系,Lv3,空城计,智略≥45,1,兵力劣势>3:1时可使用，30%概率吓退敌军,洞察→诱敌深入,主动技能,
SKL_WIT_23,智谋系,Lv3,驱虎吞狼,智略≥45,1,挑拨两国开战成功率+20%,辩论→谣言散布,主动技能,
SKL_WIT_24,智谋系,Lv3,天时预测,智略≥45,1,可提前1天预知天气变化,博闻强记,被动,
SKL_WIT_31,智谋系,Lv4,连环计,智略≥65,1,计谋可连环使用，第二个计谋成功率+20%,反间计+驱虎吞狼,被动,
SKL_WIT_32,智谋系,Lv4,运筹帷幄,智略≥65,1,可在战略地图上远程指挥间谍行动,反间计+天时预测,被动,
SKL_WIT_33,智谋系,Lv4,奇门遁甲,智略≥65,1,获得特殊计谋：落石/迷雾/地陷,火计精通+天时预测,解锁技能,
SKL_WIT_41,智谋系,Lv5,神机妙算,智略≥80,2,所有计谋冷却-50%,成功率+15%,每场可用计谋数+2,连环计+运筹帷幄,宗师,

# === 魅力系 ===
SKL_CHA_01,魅力系,Lv1,社交手腕,无,1,NPC初始好感+15，对话选项增多,无,被动,
SKL_CHA_02,魅力系,Lv1,识人之明,无,1,可查看NPC隐藏属性（忠诚倾向/野心/性格弱点）,无,被动,
SKL_CHA_03,魅力系,Lv1,风度翩翩,无,1,社交活动消耗-30%，获得情报+50%,无,被动,
SKL_CHA_11,魅力系,Lv2,外交辞令,魅力≥25,1,外交成功率+20%，条约条件优化(对方让步+10%),社交手腕,被动,
SKL_CHA_12,魅力系,Lv2,三寸不烂之舌,魅力≥25,1,劝降成功率+25%，招降俘虏概率+20%,社交手腕或识人之明,被动,
SKL_CHA_13,魅力系,Lv2,领袖魅力,魅力≥25,1,属下忠诚衰减-30%，属下叛变概率-40%,识人之明,被动,
SKL_CHA_21,魅力系,Lv3,纵横捭阖,魅力≥45,1,可同时与5国保持同盟（正常上限3国）,外交辞令,被动,
SKL_CHA_22,魅力系,Lv3,一呼百应,魅力≥45,1,招募在野武将时多人响应概率+30%,三寸不烂之舌,被动,
SKL_CHA_23,魅力系,Lv3,化敌为友,魅力≥45,1,战后招降敌将成功率+25%（包括名将）,三寸不烂之舌+领袖魅力,被动,
SKL_CHA_24,魅力系,Lv3,民心所向,魅力≥45,1,封地民忠+10，人口迁入率+20%,领袖魅力,被动,
SKL_CHA_31,魅力系,Lv4,一言兴邦,魅力≥65,1,每成功外交一次→本国声望+3（可累积）,纵横捭阖,被动,
SKL_CHA_32,魅力系,Lv4,群臣归心,魅力≥65,1,直属属下全属性+5%，永远不会背叛,化敌为友+民心所向,被动,
SKL_CHA_33,魅力系,Lv4,倾国倾城,魅力≥65,1,异性NPC相关判定+30%，特殊剧情触发,社交手腕→纵横捭阖,被动,
SKL_CHA_41,魅力系,Lv5,天下归心,魅力≥80,2,30里内友方NPC士气+10，敌方非将领10%概率不战而降,一言兴邦+群臣归心,宗师,

# === 经营系 ===
SKL_ECON_01,经营系,Lv1,商业嗅觉,无,1,可看到商品在当前城的公道价,无,被动,
SKL_ECON_02,经营系,Lv1,精打细算,无,1,所有交易手续费-20%，讨价还价下限+5%,无,被动,
SKL_ECON_03,经营系,Lv1,货比三家,无,1,城内物价信息自动获取,无,被动,
SKL_ECON_11,经营系,Lv2,商路开拓,经营≥25,1,可发现隐藏商路，商队效率+20%,商业嗅觉或货比三家,被动,
SKL_ECON_12,经营系,Lv2,投资达人,经营≥25,1,商铺投资回报率+25%，投资回本周期-30%,精打细算,被动,
SKL_ECON_13,经营系,Lv2,库存管理,经营≥25,1,商队携带货物上限+50%，货物损耗-30%,货比三家,被动,
SKL_ECON_21,经营系,Lv3,垄断大师,经营≥45,1,同一商品买入>100件→售价+15%/每100件,商路开拓+投资达人,被动,
SKL_ECON_22,经营系,Lv3,钱生钱,经营≥45,1,闲置资金>10000金在钱庄自动生息(月息0.5%),投资达人,被动,
SKL_ECON_23,经营系,Lv3,砍价大师,经营≥45,1,还价上限+15%（总额可达55%）,精打细算→投资达人,被动,
SKL_ECON_24,经营系,Lv3,实业家,经营≥45,1,封地内所有生产建筑产出+20%,库存管理,被动,
SKL_ECON_31,经营系,Lv4,富可敌国,经营≥65,1,个人资产>10万金→任意城池上宾待遇,垄断大师+钱生钱,被动,
SKL_ECON_32,经营系,Lv4,商业帝国,经营≥65,1,名下商铺≥10间→所有商铺收入+30%,垄断大师+实业家,被动,
SKL_ECON_33,经营系,Lv4,危机商机,经营≥65,1,战争/灾荒时自动获得紧急物资供应任务,实业家+砍价大师,触发型,
SKL_ECON_41,经营系,Lv5,陶朱之富,经营≥80,2,可向国家贷款(利率自定),贸易收益+100%,经济独立,富可敌国+商业帝国,宗师,

# === 工艺系 ===
SKL_CRAFT_01,工艺系,Lv1,基础锻造,无,1,可锻造绿色品质装备，材料消耗-10%,无,解锁技能,
SKL_CRAFT_02,工艺系,Lv1,巧手,无,1,建造速度+20%，修理效率+30%,无,被动,
SKL_CRAFT_03,工艺系,Lv1,慧眼识材,无,1,采集资源15%概率获得额外材料,无,被动,
SKL_CRAFT_11,工艺系,Lv2,精锻技术,工艺≥25,1,可锻造蓝色品质装备，绿色暴击率+15%,基础锻造,解锁技能,
SKL_CRAFT_12,工艺系,Lv2,攻城器专家,工艺≥25,1,建造攻城器械速度+30%，器械耐久+20%,巧手,被动,
SKL_CRAFT_13,工艺系,Lv2,机关术,工艺≥25,1,解锁基础机关陷阱（捕兽夹/绊索/落坑）,巧手或慧眼识材,解锁技能,
SKL_CRAFT_21,工艺系,Lv3,百炼成钢,工艺≥45,1,可锻造紫色品质装备，蓝色暴击率+20%,精锻技术,解锁技能,
SKL_CRAFT_22,工艺系,Lv3,名剑仿制,工艺≥45,1,可仿造十大名剑仿品(紫品质，威力80%),精锻技术→百炼成钢,解锁技能,
SKL_CRAFT_23,工艺系,Lv3,建筑大师,工艺≥45,1,封地建造时间-30%，建筑维护费-25%,攻城器专家,被动,
SKL_CRAFT_24,工艺系,Lv3,火器初探,工艺≥45,1,解锁火药制作（硫磺+硝石+木炭）,机关术,解锁技能,
SKL_CRAFT_31,工艺系,Lv4,神兵锻造,工艺≥65,1,可锻造金色品质装备(非名剑)，紫色暴击率+25%,百炼成钢,解锁技能,
SKL_CRAFT_32,工艺系,Lv4,移动工坊,工艺≥65,1,可在野外搭建临时工坊（修理/制造基础装备）,建筑大师,解锁技能,
SKL_CRAFT_33,工艺系,Lv4,攻城革命,工艺≥65,1,解锁配重投石机(射程+40%)和铁火炮(范围爆炸),火器初探+攻城器专家,解锁技能,
SKL_CRAFT_41,工艺系,Lv5,鬼斧神工,工艺≥80,2,可重铸损坏的名剑,制造专属神兵(命名权),所有锻造品质+1级,神兵锻造+攻城革命,宗师,

# === 隐藏组合技能 ===
SKL_HIDDEN_01,隐藏,特殊,霸王,战斗Lv5+统帅Lv5+武勇≥85+统率≥85,2,同时亲自冲锋+全军指挥无切换惩罚,万人之敌+千军万马,宗师隐藏,
SKL_HIDDEN_02,隐藏,特殊,圣贤,智谋Lv5+魅力Lv5+智略≥85+魅力≥85,2,计谋和外交可结合使用（谈判中离间对方）,神机妙算+天下归心,宗师隐藏,
SKL_HIDDEN_03,隐藏,特殊,国师,经营Lv5+工艺Lv5+经营≥85+工艺≥85,2,经济产出和工艺品质互相加成(+20%),陶朱之富+鬼斧神工,宗师隐藏,
SKL_HIDDEN_04,隐藏,特殊,剑圣,战斗Lv5+工艺Lv5+武勇≥85+工艺≥85,2,个人战斗力受工艺属性加成(工艺/2=额外武勇修正),万人之敌+鬼斧神工,宗师隐藏,
