技能ID,技能名称,所属将领,技能类型,效果描述,触发条件,持续时间,冷却时间,技能稀有度,历史典故,技能标签
# === 秦国将领技能 ===
SKILL_BAIQI,人屠,白起,战斗光环,亲自指挥战斗时→全军攻击+25%/敌军士气-20,进入战场自动触发,整场战斗,无(被动),传说,白起一生斩首百万，敌军闻风丧胆,攻击光环/恐惧光环
SKILL_BAIQI_02,长平之围,白起,战术技能,包围敌军后→敌军每日士气额外-5/粮草消耗×2,敌军被包围时,持续到解围,每场1次,传说,长平之战围困赵军46天,包围战术/持久战
SKILL_WANGJIAN,老谋深算,王翦,战略技能,战前准备时间越长→全军属性加成越高(最多+30%),战前部署,整场战斗,无(被动),传说,秦始皇问灭楚需要多少兵→王翦坚持要60万,战略准备
SKILL_WANGJIAN_02,灭国专家,王翦,攻城技能,对敌方都城的攻城效率+50%/劝降成功率+25%,进攻敌国首都时,整场攻城战,无(被动),史诗,王翦一生灭赵燕楚三国,攻城/劝降
SKILL_MENGTIAN,北逐匈奴,蒙恬,骑兵技能,所有骑兵对游牧民族伤害+50%/草原地形移速+20%,草原/北疆作战时,整场战斗,无(被动),史诗,蒙恬率30万大军北逐匈奴七百里,骑兵/对异族
SKILL_MENGTIAN_02,万里长城,蒙恬,防御技能,驻守边境时→城防+50%/敌军翻越边境山脉不可行,驻守边境关隘,持续驻守期间,无(被动),史诗,蒙恬修筑万里长城,防御/工程
SKILL_SIMACUO,灭蜀奇兵,司马错,战术技能,山地行军无惩罚/对山地城防伤害+30%,山地地形,整场战斗,无(被动),史诗,司马错率军穿越秦岭灭蜀,山地作战/偷袭

# === 楚国将领技能 ===
SKILL_XIANGYAN,楚国长城,项燕,防御技能,楚国领土内作战→全军防御+30%/本土作战士气+15,国内作战,整场战斗,无(被动),史诗,项燕在楚国本土多次击退秦军,本土防御
SKILL_ZHAOYANG,灭越之威,昭阳,攻击技能,对越国/南方小国(吴越南蛮)→伤害+40%,对南方国家,整场战斗,无(被动),稀有,昭阳率军灭越,对特定国家
SKILL_ZHUANGJIAO,自立为王,庄蹻,独立技能,可脱离原国家→建立独立势力(滇国)/不降忠诚惩罚,随时可触发,一次性,永久,史诗,庄蹻入滇后自立为滇王,独立/建国
SKILL_HUANGXIE,门客三千,黄歇(春申君),政治技能,招募在野人才成功率+50%/可同时拥有门客数量×3,任何时间,常驻,无(被动),传说,春申君门客三千,招募/人才
SKILL_QUYUAN,离骚,屈原,文化技能,著书时文化影响力+100%/著作品质自动+1级,著书时,著作期间,无(被动),史诗,屈原《离骚》开创了中国浪漫主义文学,文化/著书

# === 齐国将领技能 ===
SKILL_TIANDAN,火牛阵,田单,战术技能,可使用"火牛阵"→对敌营发动奇袭→敌军混乱3回合+士气-30,守城/被围困时,1次奇袭(3回合),每场1次,传说,即墨之战火牛阵大破燕军,奇袭/火攻/动物战术
SKILL_TIANDAN_02,复国,田单,战略技能,本国已被灭时→可发起"复国战争"/己方散兵重新集结+50%,国家灭亡后,持续到复国成功或失败,一次性,传说,田单在即墨复齐,复国
SKILL_SUNBIN,围魏救赵,孙膑,战术技能,攻击敌方必救之地→迫使其主力回防→回防路上可设伏,敌方精锐离开本城时,战术层面,每场战役1次,传说,围魏救赵的经典战术,声东击西/伏击
SKILL_SUNBIN_02,减灶诱敌,孙膑,战术技能,诈败后退时→每天减少灶数→诱使敌军追击(成功率+40%),撤退/诈败时,持续撤退期间,每场1次,传说,孙膑减灶诱庞涓深入,诱敌/心理战
SKILL_TIANWEN,鸡鸣狗盗,田文(孟尝君),特殊技能,招募各色奇人异士(包括盗贼/刺客/艺人)→成功率+60%,任何时间,常驻,无(被动),传说,孟尝君门客中各种奇才都有,招募/三教九流
SKILL_YANYING,晏子使楚,晏婴,外交技能,出使时对方羞辱→可反唇相讥→外交成功率反而+30%,被羞辱/刁难时,该次外交,每国1次,史诗,晏子使楚的各种机智应对,外交/反制
SKILL_ZOUJI,讽谏,邹忌,政治技能,向君主提反对意见时→君主接受率+40%(以委婉方式),劝谏君主时,该次劝谏,无冷却,史诗,邹忌以琴/以自身故事讽谏齐威王,进谏/说服
SKILL_CHUNYUKUN,隐语,淳于髡,辩论技能,用比喻/隐语进行辩论→对方理解延迟1回合(给你先手优势),辩论中,辩论全程,每次辩论,稀有,稷下学宫的著名辩士风格,辩论/隐喻

# === 赵国将领技能 ===
SKILL_LIANPO,负荆请罪,廉颇,关系技能,与任何NPC关系降为敌对→可主动负荆请罪→关系大幅恢复+80,主动认错时,一次性(每NPC一次),永久,传说,廉颇负荆请罪与蔺相如和解,关系修复
SKILL_LIANPO_02,老当益壮,廉颇,属性技能,年龄>50后→武勇不减/统率反而+5(经验)/体力消耗-20%,年龄>50,永久,永久,史诗,廉颇年过六旬仍上阵杀敌,年龄抗性
SKILL_LIMU,北疆战神,李牧,骑兵技能,对匈奴/游牧民→伤害+60%/可在草原使用"诱敌深入"战术,草原/北疆,整场战斗,无(被动),传说,李牧北逐匈奴使其十余年不敢犯边,对异族/诱敌
SKILL_LIMU_02,坚壁清野,李牧,防御技能,敌军入侵时→所有边境城池自动坚壁清野/敌军粮草消耗×3,敌军入侵领土,持续到敌军撤退,每场战争1次,史诗,李牧防御匈奴的核心策略,焦土/消耗战
SKILL_ZHAOSHE,狭路相逢勇者胜,赵奢,骑兵技能,峡谷/狭窄地形中→骑兵战力不减(普通-50%)+先手攻击优势,狭窄地形,整场战斗,无(被动),史诗,阏与之战中赵奢名言,地形适应/先手
SKILL_ZHAOKUO,纸上谈兵,赵括,负面技能,统率虚高但实战-30%效果/敌军名将识破其战术概率+50%,指挥大规模战役时,整场,永久,传说(负面),赵括纸上谈兵的历史教训,负面/新秀
SKILL_LINXIANGRU,完璧归赵,蔺相如,外交技能,面对强国威胁时→可用智谋保全国家利益/被扣留概率-80%,代表国家出使强国时,该次出使,每国1次,传说,蔺相如完璧归赵,外交/反制/胆识
SKILL_ZHAOSHENG,窃符救赵(被动),赵胜(平原君),关系技能,国家危急时→可自动触发向他国求援→求援成功率+40%,国家被围攻时,战争期间,一次性,史诗,平原君向魏楚求援救赵,求援/人脉
SKILL_MAOSUI,毛遂自荐,毛遂,自荐技能,可跳过正常招募门槛→直接向君主/权贵自荐→成功率+25%,主动求见君主时,一次性,每位君主1次,史诗,毛遂自荐的经典故事,自荐/破格

# === 燕国将领技能 ===
SKILL_YUEYI,五国伐齐,乐毅,联盟技能,发起多国会盟/联合进攻时→各国参与率+30%/联军协同+25%,发起会盟/联军时,会盟期间,每次会盟1次,传说,乐毅率五国联军伐齐,联盟/外交军事
SKILL_YUEYI_02,黄金台,乐毅,招募技能,在燕国时→可建造"黄金台"→全国人才吸引力+50%,担任燕国官职,永久,永久,史诗,燕昭王筑黄金台求贤,招募/建筑
SKILL_JINGKE,图穷匕见,荆轲,暗杀技能,在正式场合(如朝见)接近目标→致命一击概率+50%,朝见/正式会面时,一次性,一次性(成功或死亡),传说,荆轲刺秦王图穷匕见,暗杀/牺牲
SKILL_TAIZIDAN,易水送别,太子丹,牺牲技能,可派遣死士执行必死任务→死士成功率+40%,派遣刺客/死士,一次性,每次任务,史诗,易水送别荆轲,死士/领导力
SKILL_GUOWEI,千金买马骨,郭隗,招募技能,用自己作为"马骨"示范→君主愿意花重金求贤的概率+50%,劝谏君主时,一次性,永久,史诗,郭隗以千金买马骨的故事说服燕昭王,劝说/示范效应

# === 魏国将领技能 ===
SKILL_WUQI,魏武卒,吴起,练兵技能,训练的士兵→品质自动+1级(新兵→精锐)/训练时间-40%,亲自训练时,持续(训练期间),无(被动),传说,吴起训练的魏武卒是战国最强步兵,练兵/品质
SKILL_WUQI_02,杀妻求将,吴起,负面/功利技能,为达成军事/政治目的→可选择牺牲至亲→忠诚度+20(君主认为你忠心)/但仁义-80,面临忠诚考验时,一次性,永久(仁义影响),传说(负面),吴起杀妻求将的争议,功利/牺牲
SKILL_PANGJUAN,嫉妒之焰,庞涓,负面技能,对智略高于自己的同门→伤害+30%(嫉妒驱动的战斗力),与智略更高的对手交战时,整场战斗,无(被动),史诗,庞涓嫉妒孙膑之才,负面/同门相残
SKILL_XIMENBAO,投巫治邺,西门豹,治理技能,担任地方官时→用巧妙手段破除迷信/民忠+20/治理效率+40%,担任地方官,持续任职期间,无(被动),史诗,西门豹投巫治邺,治理/反迷信
SKILL_XINLINGJUN,窃符救赵,信陵君,军事技能,可绕过君主→直接调兵(需要关系≥80的将领配合),国家危急/君主不同意出兵时,一次性,每次危机,史诗,信陵君窃符救赵,抗命/义举
SKILL_LIKUI,法经,李悝,变法技能,推行变法时→法律体系化→变法阻力-30%,推行变法,变法期间,无(被动),传说,李悝著《法经》为后世立法范本,变法/法律
SKILL_HUISHI,濠梁之辩,惠施,辩论技能,辩论中可用"子非鱼"式逻辑→使对方观点自相矛盾→胜率+20%,辩论中,辩论全程,每次辩论,史诗,惠施与庄子濠梁之辩,辩论/逻辑

# === 韩国将领技能 ===
SKILL_SHENBUHAI,术治,申不害,治理技能,担任相国时→官员考核自动化/腐败概率-40%,担任相国,持续任职期间,无(被动),史诗,申不害"术治"理论实践,治理/考核
SKILL_HANFEI,法家大成,韩非,文化技能,著书《韩非子》→完成后→法家影响力永久+100%/后世君主采用率+50%,著书中,著作完成后永久,一次性,传说,韩非子集法家大成,著书/法家
SKILL_ZHENGGUO,疲秦计,郑国,工程/间谍技能,以建造大型水利工程为名→消耗敌国国力(工程花费×1.5→都由敌国承担),被派遣入敌国,工程期间,一次性,史诗,韩国派郑国入秦修渠以"疲秦",工程/间谍
SKILL_ZHANGLIANG,运筹帷幄,张良,谋略技能,可在后方策划前线战术→前线将领获得智略+15(远程谋略支持),非亲自战斗时,整场战斗,每场1次,传说,张良运筹帷幄之中决胜千里之外,远程谋略
SKILL_YIYANG,百炼精钢,宜阳铁官,工艺技能,在此工匠监造下→武器品质自动+1级(上限紫色)/产量+100%,亲自监造,监造期间,无(被动),史诗,宜阳冶铁中心的秘密,工艺/品质

# === 周/纵横家技能 ===
SKILL_SUQIN,六国相印,苏秦,外交技能,可同时担任多国官职(普通只能任1国)/合纵联盟维系+50%,合纵会盟,联盟期间,无(被动),传说,苏秦佩六国相印,合纵/多国籍
SKILL_ZHANGYI,欺楚,张仪,外交技能,可许下虚假承诺→对方相信概率+50%(但兑现失败→信义永久-30),签订条约时,一次性(影响永久),每国1次,传说,张仪以割地为诺欺骗楚怀王,欺诈/高风险
SKILL_GUIGUZI,百家之祖,鬼谷子,教学技能,可同时教授多名学生→学生获得导师50%的属性加成(学习速度),教授学生时,持续(教学期间),无(被动),传说,鬼谷子门下苏秦张仪孙膑庞涓,教学/传承
SKILL_GONGSUNYAN,犀首,公孙衍,军事/外交,军事威胁+外交谈判结合→谈判成功率+25%(以战促和),谈判中,该次谈判,无冷却,史诗,公孙衍以武力为后盾的外交,军事外交
SKILL_LVBUWEI,奇货可居,吕不韦,投资技能,可投资流亡王子→投资成功→获得"国师"地位(该国所有决策权+20%),发现流亡王子时,一次性,永久(投资回报),传说,吕不韦投资异人→获得秦国相位,投资/政治赌博
SKILL_LVBUWEI_02,一字千金,吕不韦,文化技能,完成著作→可悬赏"一字千金"→著作影响力+200%,著作完成后,一次性,每部著作1次,传说,吕氏春秋一字千金,文化/营销
